origin,destination,airline,date,price,days_until_departure
LIM,CUZ,2I,2025-05-18,177,-1
LIM,HUU,2I,2025-05-18,616,-1
LIM,PCL,2I,2025-05-18,406,-1
LIM,TPP,2I,2025-05-18,758,-1
PCL,IQT,2I,2025-05-18,1096,-1
PCL,LIM,2I,2025-05-18,387,-1
PCL,TPP,2I,2025-05-18,1107,-1
PEM,CUZ,2I,2025-05-18,599,-1
TPP,IQT,2I,2025-05-18,716,-1
TPP,LIM,2I,2025-05-18,545,-1
TPP,PCL,2I,2025-05-18,104,-1
ABJ,BOY,2J,2025-05-18,909,-1
ABJ,OUA,2J,2025-05-18,361,-1
ACC,OUA,2J,2025-05-18,896,-1
BKO,ABJ,2J,2025-05-18,445,-1
BKO,DKR,2J,2025-05-18,410,-1
BKO,OUA,2J,2025-05-18,958,-1
BOY,ABJ,2J,2025-05-18,347,-1
BOY,OUA,2J,2025-05-18,890,-1
COO,LFW,2J,2025-05-18,361,-1
COO,OUA,2J,2025-05-18,260,-1
DKR,BKO,2J,2025-05-18,730,-1
DKR,OUA,2J,2025-05-18,899,-1
LFW,OUA,2J,2025-05-18,221,-1
NIM,OUA,2J,2025-05-18,622,-1
OUA,ABJ,2J,2025-05-18,283,-1
OUA,ACC,2J,2025-05-18,482,-1
OUA,BKO,2J,2025-05-18,122,-1
OUA,BOY,2J,2025-05-18,483,-1
OUA,COO,2J,2025-05-18,1047,-1
OUA,DKR,2J,2025-05-18,370,-1
OUA,LFW,2J,2025-05-18,1142,-1
OUA,NIM,2J,2025-05-18,510,-1
BOG,GYE,2K,2025-05-18,685,-1
BOG,UIO,2K,2025-05-18,682,-1
CLO,GYE,2K,2025-05-18,382,-1
GYE,BOG,2K,2025-05-18,467,-1
GYE,CLO,2K,2025-05-18,318,-1
GYE,SCY,2K,2025-05-18,973,-1
GYE,UIO,2K,2025-05-18,945,-1
OCC,UIO,2K,2025-05-18,374,-1
SCY,GYE,2K,2025-05-18,982,-1
UIO,BOG,2K,2025-05-18,1151,-1
UIO,GYE,2K,2025-05-18,123,-1
UIO,OCC,2K,2025-05-18,787,-1
BDS,ZRH,2L,2025-05-18,109,-1
BOD,ZRH,2L,2025-05-18,112,-1
BRS,ZRH,2L,2025-05-18,1143,-1
GVA,LPA,2L,2025-05-18,754,-1
LCA,ZRH,2L,2025-05-18,866,-1
LPA,ZRH,2L,2025-05-18,111,-1
RMF,ZRH,2L,2025-05-18,149,-1
TFS,GVA,2L,2025-05-18,232,-1
ZRH,BDS,2L,2025-05-18,1091,-1
ZRH,BOD,2L,2025-05-18,447,-1
ZRH,BRS,2L,2025-05-18,698,-1
ZRH,LCA,2L,2025-05-18,606,-1
ZRH,LPA,2L,2025-05-18,701,-1
ZRH,RMF,2L,2025-05-18,624,-1
AJR,LYC,2N,2025-05-18,906,-1
ARN,GEV,2N,2025-05-18,684,-1
ARN,HAD,2N,2025-05-18,834,-1
ARN,JKG,2N,2025-05-18,118,-1
ARN,KRF,2N,2025-05-18,1084,-1
ARN,KSD,2N,2025-05-18,697,-1
ARN,LYC,2N,2025-05-18,517,-1
ARN,MHQ,2N,2025-05-18,1120,-1
ARN,OER,2N,2025-05-18,902,-1
ARN,POR,2N,2025-05-18,1031,-1
ARN,TRF,2N,2025-05-18,684,-1
ARN,VBY,2N,2025-05-18,279,-1
ARN,VHM,2N,2025-05-18,544,-1
ARN,VXO,2N,2025-05-18,851,-1
GEV,ARN,2N,2025-05-18,898,-1
GEV,KRF,2N,2025-05-18,1154,-1
HAD,ARN,2N,2025-05-18,114,-1
HAD,JKG,2N,2025-05-18,677,-1
HAD,VXO,2N,2025-05-18,555,-1
HMV,VHM,2N,2025-05-18,923,-1
JKG,ARN,2N,2025-05-18,440,-1
JKG,HAD,2N,2025-05-18,337,-1
KOK,POR,2N,2025-05-18,348,-1
KRF,ARN,2N,2025-05-18,203,-1
KRF,GEV,2N,2025-05-18,1163,-1
KSD,ARN,2N,2025-05-18,481,-1
LYC,AJR,2N,2025-05-18,236,-1
LYC,ARN,2N,2025-05-18,467,-1
MHQ,ARN,2N,2025-05-18,763,-1
MHQ,TKU,2N,2025-05-18,130,-1
OER,ARN,2N,2025-05-18,778,-1
OSL,VXO,2N,2025-05-18,108,-1
POR,ARN,2N,2025-05-18,800,-1
POR,KOK,2N,2025-05-18,504,-1
TKU,MHQ,2N,2025-05-18,471,-1
TRF,ARN,2N,2025-05-18,728,-1
VBY,ARN,2N,2025-05-18,823,-1
VHM,ARN,2N,2025-05-18,595,-1
VHM,HMV,2N,2025-05-18,1153,-1
VXO,ARN,2N,2025-05-18,857,-1
VXO,OSL,2N,2025-05-18,385,-1
ADQ,AOS,2O,2025-05-18,797,-1
ADQ,KKB,2O,2025-05-18,615,-1
ADQ,KLN,2O,2025-05-18,1099,-1
ADQ,KOZ,2O,2025-05-18,411,-1
ADQ,OLH,2O,2025-05-18,694,-1
AOS,KZB,2O,2025-05-18,796,-1
KKB,SYB,2O,2025-05-18,300,-1
KLN,KYK,2O,2025-05-18,650,-1
KOZ,ORI,2O,2025-05-18,706,-1
SYB,KPR,2O,2025-05-18,401,-1
BSO,MNL,2P,2025-05-18,1173,-1
BXU,MNL,2P,2025-05-18,306,-1
CBO,MNL,2P,2025-05-18,1196,-1
CGY,MNL,2P,2025-05-18,620,-1
CRM,MNL,2P,2025-05-18,356,-1
DGT,MNL,2P,2025-05-18,329,-1
DWC,MNL,2P,2025-05-18,1113,-1
GES,MNL,2P,2025-05-18,683,-1
KLO,MNL,2P,2025-05-18,346,-1
LGP,MNL,2P,2025-05-18,422,-1
MNL,BSO,2P,2025-05-18,808,-1
MNL,BXU,2P,2025-05-18,788,-1
MNL,CBO,2P,2025-05-18,1034,-1
MNL,CGY,2P,2025-05-18,496,-1
MNL,CRM,2P,2025-05-18,759,-1
MNL,DGT,2P,2025-05-18,707,-1
MNL,DWC,2P,2025-05-18,778,-1
MNL,GES,2P,2025-05-18,146,-1
MNL,KLO,2P,2025-05-18,661,-1
MNL,LGP,2P,2025-05-18,815,-1
MNL,MPH,2P,2025-05-18,178,-1
MNL,OZC,2P,2025-05-18,824,-1
MNL,PPS,2P,2025-05-18,117,-1
MNL,RXS,2P,2025-05-18,526,-1
MNL,SUG,2P,2025-05-18,417,-1
MNL,TUG,2P,2025-05-18,335,-1
MNL,ZAM,2P,2025-05-18,804,-1
MPH,MNL,2P,2025-05-18,739,-1
OZC,MNL,2P,2025-05-18,455,-1
PPS,MNL,2P,2025-05-18,1130,-1
RXS,MNL,2P,2025-05-18,874,-1
SUG,MNL,2P,2025-05-18,199,-1
TUG,MNL,2P,2025-05-18,979,-1
ZAM,MNL,2P,2025-05-18,740,-1
AUX,PMW,2Z,2025-05-18,1144,-1
BRA,BSB,2Z,2025-05-18,1099,-1
BRA,SSA,2Z,2025-05-18,589,-1
BSB,BRA,2Z,2025-05-18,819,-1
BSB,OPS,2Z,2025-05-18,574,-1
BSB,RAO,2Z,2025-05-18,380,-1
CAC,GRU,2Z,2025-05-18,890,-1
CGB,GYN,2Z,2025-05-18,253,-1
CGB,OPS,2Z,2025-05-18,998,-1
CGR,DOU,2Z,2025-05-18,690,-1
DOU,CGR,2Z,2025-05-18,111,-1
DOU,GRU,2Z,2025-05-18,1151,-1
GIG,RAO,2Z,2025-05-18,308,-1
GRU,CAC,2Z,2025-05-18,1067,-1
GRU,DOU,2Z,2025-05-18,992,-1
GRU,RAO,2Z,2025-05-18,702,-1
GRU,UBA,2Z,2025-05-18,914,-1
GRU,UDI,2Z,2025-05-18,776,-1
GRU,VDC,2Z,2025-05-18,711,-1
GYN,CGB,2Z,2025-05-18,1180,-1
GYN,PMW,2Z,2025-05-18,941,-1
GYN,RAO,2Z,2025-05-18,265,-1
GYN,UDI,2Z,2025-05-18,1115,-1
OPS,BSB,2Z,2025-05-18,1060,-1
OPS,CGB,2Z,2025-05-18,594,-1
PLU,RAO,2Z,2025-05-18,554,-1
PMW,AUX,2Z,2025-05-18,260,-1
PMW,GYN,2Z,2025-05-18,606,-1
RAO,BSB,2Z,2025-05-18,1055,-1
RAO,GIG,2Z,2025-05-18,490,-1
RAO,GRU,2Z,2025-05-18,421,-1
RAO,GYN,2Z,2025-05-18,1133,-1
RAO,PLU,2Z,2025-05-18,569,-1
RAO,SJP,2Z,2025-05-18,676,-1
RAO,UDI,2Z,2025-05-18,556,-1
SJP,RAO,2Z,2025-05-18,305,-1
SSA,BRA,2Z,2025-05-18,811,-1
SSA,VDC,2Z,2025-05-18,932,-1
UBA,GRU,2Z,2025-05-18,484,-1
UBA,UDI,2Z,2025-05-18,1171,-1
UDI,GRU,2Z,2025-05-18,601,-1
UDI,GYN,2Z,2025-05-18,1012,-1
UDI,RAO,2Z,2025-05-18,302,-1
UDI,UBA,2Z,2025-05-18,857,-1
VDC,GRU,2Z,2025-05-18,363,-1
VDC,SSA,2Z,2025-05-18,994,-1
BRL,ORD,3E,2025-05-18,513,-1
BRL,STL,3E,2025-05-18,1119,-1
DEC,ORD,3E,2025-05-18,448,-1
DEC,STL,3E,2025-05-18,482,-1
JBR,STL,3E,2025-05-18,987,-1
ORD,BRL,3E,2025-05-18,269,-1
ORD,DEC,3E,2025-05-18,449,-1
STL,BRL,3E,2025-05-18,471,-1
STL,DEC,3E,2025-05-18,1077,-1
STL,JBR,3E,2025-05-18,704,-1
CGA,HYL,3F,2025-05-18,152,-1
CGA,KTN,3F,2025-05-18,433,-1
HYL,CGA,3F,2025-05-18,568,-1
HYL,KTB,3F,2025-05-18,873,-1
HYL,KTN,3F,2025-05-18,340,-1
KTB,HYL,3F,2025-05-18,1132,-1
KTB,KTN,3F,2025-05-18,1132,-1
KTN,CGA,3F,2025-05-18,1198,-1
KTN,HYL,3F,2025-05-18,475,-1
KTN,KTB,3F,2025-05-18,1091,-1
KTN,MTM,3F,2025-05-18,1158,-1
MTM,KTN,3F,2025-05-18,154,-1
ACC,DKR,3G,2025-05-18,161,-1
ACC,LOS,3G,2025-05-18,297,-1
ACC,ROB,3G,2025-05-18,649,-1
BCN,BJL,3G,2025-05-18,917,-1
BJL,BCN,3G,2025-05-18,865,-1
BJL,DKR,3G,2025-05-18,819,-1
BJL,FNA,3G,2025-05-18,128,-1
CKY,OXB,3G,2025-05-18,815,-1
DKR,ACC,3G,2025-05-18,269,-1
DKR,BJL,3G,2025-05-18,901,-1
DKR,DLA,3G,2025-05-18,700,-1
DKR,FNA,3G,2025-05-18,222,-1
DKR,LOS,3G,2025-05-18,366,-1
DKR,OXB,3G,2025-05-18,1028,-1
DLA,DKR,3G,2025-05-18,834,-1
DLA,LOS,3G,2025-05-18,712,-1
FNA,BJL,3G,2025-05-18,457,-1
FNA,DKR,3G,2025-05-18,258,-1
FNA,LGW,3G,2025-05-18,1056,-1
FNA,ROB,3G,2025-05-18,168,-1
LGW,FNA,3G,2025-05-18,1128,-1
LOS,ACC,3G,2025-05-18,842,-1
LOS,DKR,3G,2025-05-18,233,-1
LOS,DLA,3G,2025-05-18,358,-1
LOS,ROB,3G,2025-05-18,830,-1
OXB,CKY,3G,2025-05-18,647,-1
OXB,DKR,3G,2025-05-18,899,-1
ROB,ACC,3G,2025-05-18,702,-1
ROB,FNA,3G,2025-05-18,368,-1
ROB,LOS,3G,2025-05-18,748,-1
AKV,YIK,3H,2025-05-18,714,-1
AKV,YPX,3H,2025-05-18,1062,-1
XGR,YVP,3H,2025-05-18,895,-1
YGL,YGW,3H,2025-05-18,959,-1
YGL,YPX,3H,2025-05-18,911,-1
YGL,YUL,3H,2025-05-18,474,-1
YGW,YGL,3H,2025-05-18,463,-1
YGW,YPH,3H,2025-05-18,695,-1
YGW,YSK,3H,2025-05-18,626,-1
YGW,YUD,3H,2025-05-18,1178,-1
YGW,YUL,3H,2025-05-18,655,-1
YGW,YUY,3H,2025-05-18,424,-1
YIK,AKV,3H,2025-05-18,864,-1
YIK,YZG,3H,2025-05-18,117,-1
YKG,YPJ,3H,2025-05-18,628,-1
YKG,YQC,3H,2025-05-18,177,-1
YKG,YVP,3H,2025-05-18,998,-1
YKL,YQB,3H,2025-05-18,152,-1
YKL,YVP,3H,2025-05-18,1154,-1
YKL,YWK,3H,2025-05-18,725,-1
YKL,YZV,3H,2025-05-18,713,-1
YPH,YPX,3H,2025-05-18,173,-1
YPH,YUD,3H,2025-05-18,311,-1
YPH,YVP,3H,2025-05-18,1014,-1
YPJ,YKG,3H,2025-05-18,152,-1
YPJ,YTQ,3H,2025-05-18,371,-1
YPJ,YVP,3H,2025-05-18,699,-1
YPX,AKV,3H,2025-05-18,951,-1
YPX,YGL,3H,2025-05-18,698,-1
YPX,YPH,3H,2025-05-18,312,-1
YPX,YVP,3H,2025-05-18,1039,-1
YQB,YKL,3H,2025-05-18,102,-1
YQB,YUL,3H,2025-05-18,1034,-1
YQC,YKG,3H,2025-05-18,642,-1
YQC,YWB,3H,2025-05-18,337,-1
YSK,YGW,3H,2025-05-18,976,-1
YSK,YUD,3H,2025-05-18,1103,-1
YTQ,YPJ,3H,2025-05-18,369,-1
YTQ,YVP,3H,2025-05-18,840,-1
YUD,YGW,3H,2025-05-18,339,-1
YUD,YPH,3H,2025-05-18,369,-1
YUD,YSK,3H,2025-05-18,374,-1
YUL,YGL,3H,2025-05-18,971,-1
YUL,YGW,3H,2025-05-18,632,-1
YUL,YQB,3H,2025-05-18,324,-1
YUL,YUY,3H,2025-05-18,222,-1
YUY,YGW,3H,2025-05-18,423,-1
YUY,YUL,3H,2025-05-18,1168,-1
YVP,XGR,3H,2025-05-18,1199,-1
YVP,YGW,3H,2025-05-18,523,-1
YVP,YKG,3H,2025-05-18,1070,-1
YVP,YKL,3H,2025-05-18,1104,-1
YVP,YPH,3H,2025-05-18,135,-1
YVP,YPJ,3H,2025-05-18,808,-1
YVP,YPX,3H,2025-05-18,1142,-1
YVP,YTQ,3H,2025-05-18,822,-1
YWB,YQC,3H,2025-05-18,577,-1
YWB,YZG,3H,2025-05-18,128,-1
YWK,YKL,3H,2025-05-18,446,-1
YWK,YZV,3H,2025-05-18,760,-1
YZG,YIK,3H,2025-05-18,200,-1
YZG,YWB,3H,2025-05-18,852,-1
YZV,YKL,3H,2025-05-18,516,-1
YZV,YWK,3H,2025-05-18,1119,-1
JIB,DXB,3J,2025-05-18,489,-1
JIB,JED,3J,2025-05-18,813,-1
JIB,MGQ,3J,2025-05-18,723,-1
MGQ,NBO,3J,2025-05-18,617,-1
NBO,MGQ,3J,2025-05-18,1086,-1
BKK,SIN,3K,2025-05-18,297,-1
DRW,SIN,3K,2025-05-18,979,-1
HAK,SIN,3K,2025-05-18,655,-1
HGH,SIN,3K,2025-05-18,250,-1
HKG,SIN,3K,2025-05-18,392,-1
HKT,SIN,3K,2025-05-18,891,-1
KIX,MNL,3K,2025-05-18,103,-1
KIX,TPE,3K,2025-05-18,728,-1
KUL,SIN,3K,2025-05-18,126,-1
MNL,KIX,3K,2025-05-18,720,-1
MNL,SIN,3K,2025-05-18,683,-1
PEN,SIN,3K,2025-05-18,162,-1
PER,SIN,3K,2025-05-18,479,-1
PNH,SIN,3K,2025-05-18,474,-1
REP,SIN,3K,2025-05-18,444,-1
RGN,SIN,3K,2025-05-18,655,-1
SGN,SIN,3K,2025-05-18,963,-1
SIN,BKK,3K,2025-05-18,428,-1
SIN,DRW,3K,2025-05-18,193,-1
SIN,HAK,3K,2025-05-18,729,-1
SIN,HGH,3K,2025-05-18,954,-1
SIN,HKG,3K,2025-05-18,763,-1
SIN,HKT,3K,2025-05-18,702,-1
SIN,KUL,3K,2025-05-18,457,-1
SIN,MNL,3K,2025-05-18,411,-1
SIN,PEN,3K,2025-05-18,168,-1
SIN,PER,3K,2025-05-18,704,-1
SIN,PNH,3K,2025-05-18,737,-1
SIN,REP,3K,2025-05-18,1069,-1
SIN,RGN,3K,2025-05-18,483,-1
SIN,SGN,3K,2025-05-18,651,-1
SIN,SWA,3K,2025-05-18,172,-1
SIN,TPE,3K,2025-05-18,701,-1
SWA,SIN,3K,2025-05-18,179,-1
TPE,KIX,3K,2025-05-18,795,-1
TPE,SIN,3K,2025-05-18,630,-1
ACH,EBA,3L,2025-05-18,391,-1
DRS,ZRH,3L,2025-05-18,718,-1
DUS,FDH,3L,2025-05-18,292,-1
EBA,ACH,3L,2025-05-18,688,-1
EBA,FDH,3L,2025-05-18,1167,-1
EBA,MUC,3L,2025-05-18,971,-1
EBA,ZRH,3L,2025-05-18,1098,-1
FDH,DUS,3L,2025-05-18,957,-1
FDH,EBA,3L,2025-05-18,370,-1
FDH,HAM,3L,2025-05-18,1161,-1
FDH,OLB,3L,2025-05-18,776,-1
FDH,TXL,3L,2025-05-18,996,-1
FDH,ZAD,3L,2025-05-18,583,-1
FMM,NAP,3L,2025-05-18,691,-1
GRZ,ZRH,3L,2025-05-18,166,-1
HAM,FDH,3L,2025-05-18,338,-1
MUC,EBA,3L,2025-05-18,423,-1
NAP,FMM,3L,2025-05-18,703,-1
OLB,FDH,3L,2025-05-18,533,-1
SZG,ZRH,3L,2025-05-18,139,-1
TXL,FDH,3L,2025-05-18,1170,-1
ZAD,FDH,3L,2025-05-18,1171,-1
ZRH,DRS,3L,2025-05-18,961,-1
ZRH,EBA,3L,2025-05-18,695,-1
ZRH,GRZ,3L,2025-05-18,678,-1
ZRH,SZG,3L,2025-05-18,824,-1
ATL,LWB,3M,2025-05-18,425,-1
ATL,MCN,3M,2025-05-18,1200,-1
ATL,MEI,3M,2025-05-18,807,-1
ATL,MSL,3M,2025-05-18,715,-1
ATL,PIB,3M,2025-05-18,373,-1
ATL,TUP,3M,2025-05-18,487,-1
BIM,FLL,3M,2025-05-18,824,-1
ELH,FLL,3M,2025-05-18,608,-1
ELH,PBI,3M,2025-05-18,862,-1
EYW,FLL,3M,2025-05-18,510,-1
EYW,RSW,3M,2025-05-18,465,-1
EYW,TPA,3M,2025-05-18,997,-1
FLL,BIM,3M,2025-05-18,1030,-1
FLL,ELH,3M,2025-05-18,167,-1
FLL,EYW,3M,2025-05-18,499,-1
FLL,FPO,3M,2025-05-18,574,-1
FLL,GGT,3M,2025-05-18,701,-1
FLL,GHB,3M,2025-05-18,866,-1
FLL,MCO,3M,2025-05-18,1104,-1
FLL,MHH,3M,2025-05-18,440,-1
FLL,TCB,3M,2025-05-18,291,-1
FLL,TPA,3M,2025-05-18,509,-1
FPO,FLL,3M,2025-05-18,595,-1
GGT,FLL,3M,2025-05-18,966,-1
GGT,GHB,3M,2025-05-18,104,-1
GHB,FLL,3M,2025-05-18,670,-1
GLH,TUP,3M,2025-05-18,558,-1
GNV,MCO,3M,2025-05-18,913,-1
GNV,TPA,3M,2025-05-18,555,-1
JAX,MHH,3M,2025-05-18,324,-1
JAX,TPA,3M,2025-05-18,326,-1
LWB,ATL,3M,2025-05-18,1054,-1
MCN,ATL,3M,2025-05-18,874,-1
MCN,MCO,3M,2025-05-18,837,-1
MCO,FLL,3M,2025-05-18,449,-1
MCO,GNV,3M,2025-05-18,136,-1
MCO,MCN,3M,2025-05-18,1090,-1
MCO,MHH,3M,2025-05-18,803,-1
MCO,PNS,3M,2025-05-18,613,-1
MCO,RSW,3M,2025-05-18,977,-1
MCO,TLH,3M,2025-05-18,650,-1
MEI,ATL,3M,2025-05-18,215,-1
MHH,FLL,3M,2025-05-18,692,-1
MHH,JAX,3M,2025-05-18,643,-1
MHH,MCO,3M,2025-05-18,890,-1
MHH,PBI,3M,2025-05-18,1060,-1
MSL,ATL,3M,2025-05-18,1024,-1
PBI,ELH,3M,2025-05-18,654,-1
PBI,MHH,3M,2025-05-18,305,-1
PBI,TPA,3M,2025-05-18,425,-1
PIB,ATL,3M,2025-05-18,658,-1
PNS,MCO,3M,2025-05-18,462,-1
PNS,TPA,3M,2025-05-18,366,-1
RSW,EYW,3M,2025-05-18,324,-1
RSW,MCO,3M,2025-05-18,308,-1
TCB,FLL,3M,2025-05-18,896,-1
TLH,MCO,3M,2025-05-18,659,-1
TLH,TPA,3M,2025-05-18,780,-1
TPA,EYW,3M,2025-05-18,832,-1
TPA,FLL,3M,2025-05-18,709,-1
TPA,GNV,3M,2025-05-18,952,-1
TPA,JAX,3M,2025-05-18,648,-1
TPA,PBI,3M,2025-05-18,358,-1
TPA,PNS,3M,2025-05-18,657,-1
TPA,TLH,3M,2025-05-18,735,-1
TUP,ATL,3M,2025-05-18,1079,-1
TUP,GLH,3M,2025-05-18,127,-1
AMS,NDR,3O,2025-05-18,476,-1
AMS,TNG,3O,2025-05-18,238,-1
BCN,CMN,3O,2025-05-18,1124,-1
BCN,NDR,3O,2025-05-18,640,-1
BCN,TNG,3O,2025-05-18,171,-1
BGY,CMN,3O,2025-05-18,308,-1
BLQ,CMN,3O,2025-05-18,778,-1
BRU,CMN,3O,2025-05-18,1143,-1
BRU,NDR,3O,2025-05-18,426,-1
BRU,TNG,3O,2025-05-18,959,-1
CGN,NDR,3O,2025-05-18,343,-1
CMN,BCN,3O,2025-05-18,586,-1
CMN,BGY,3O,2025-05-18,926,-1
CMN,BLQ,3O,2025-05-18,1129,-1
CMN,BRU,3O,2025-05-18,685,-1
CMN,CUF,3O,2025-05-18,349,-1
CMN,LGW,3O,2025-05-18,126,-1
CMN,LYS,3O,2025-05-18,182,-1
CMN,MPL,3O,2025-05-18,119,-1
CMN,SAW,3O,2025-05-18,771,-1
CMN,TLS,3O,2025-05-18,608,-1
CMN,TSF,3O,2025-05-18,887,-1
CUF,CMN,3O,2025-05-18,603,-1
FEZ,MPL,3O,2025-05-18,586,-1
LGW,CMN,3O,2025-05-18,598,-1
LGW,TNG,3O,2025-05-18,402,-1
LYS,CMN,3O,2025-05-18,469,-1
MPL,CMN,3O,2025-05-18,338,-1
MPL,FEZ,3O,2025-05-18,1107,-1
MPL,NDR,3O,2025-05-18,328,-1
NDR,AMS,3O,2025-05-18,554,-1
NDR,BCN,3O,2025-05-18,317,-1
NDR,BRU,3O,2025-05-18,593,-1
NDR,CGN,3O,2025-05-18,143,-1
NDR,MPL,3O,2025-05-18,846,-1
NDR,PMI,3O,2025-05-18,235,-1
PMI,NDR,3O,2025-05-18,152,-1
SAW,CMN,3O,2025-05-18,782,-1
TLS,CMN,3O,2025-05-18,362,-1
TNG,AMS,3O,2025-05-18,436,-1
TNG,BCN,3O,2025-05-18,1100,-1
TNG,BRU,3O,2025-05-18,187,-1
TNG,LGW,3O,2025-05-18,386,-1
TSF,CMN,3O,2025-05-18,764,-1
AUA,LSP,3P,2025-05-18,218,-1
AUA,MAR,3P,2025-05-18,135,-1
BON,CUR,3P,2025-05-18,1178,-1
CUR,AUA,3P,2025-05-18,586,-1
LSP,AUA,3P,2025-05-18,409,-1
MAR,AUA,3P,2025-05-18,701,-1
ASF,DME,3R,2025-05-18,409,-1
ASF,LED,3R,2025-05-18,201,-1
BHK,DME,3R,2025-05-18,264,-1
DME,ASF,3R,2025-05-18,1000,-1
DME,BHK,3R,2025-05-18,667,-1
DME,EGO,3R,2025-05-18,511,-1
DME,FEG,3R,2025-05-18,167,-1
DME,KSQ,3R,2025-05-18,132,-1
DME,NMA,3R,2025-05-18,831,-1
DME,NVI,3R,2025-05-18,1199,-1
DME,SKD,3R,2025-05-18,468,-1
DME,TIV,3R,2025-05-18,1152,-1
EGO,DME,3R,2025-05-18,735,-1
FEG,DME,3R,2025-05-18,1143,-1
KSQ,DME,3R,2025-05-18,186,-1
LED,ASF,3R,2025-05-18,479,-1
NMA,DME,3R,2025-05-18,722,-1
NVI,DME,3R,2025-05-18,446,-1
SKD,DME,3R,2025-05-18,108,-1
TIV,DME,3R,2025-05-18,454,-1
ANU,PTP,3S,2025-05-18,910,-1
CAY,FDF,3S,2025-05-18,303,-1
CUR,SDQ,3S,2025-05-18,283,-1
DOM,PTP,3S,2025-05-18,522,-1
DOM,SXM,3S,2025-05-18,728,-1
FDF,CAY,3S,2025-05-18,199,-1
FDF,PTP,3S,2025-05-18,628,-1
FDF,SDQ,3S,2025-05-18,242,-1
FDF,SLU,3S,2025-05-18,139,-1
PTP,ANU,3S,2025-05-18,203,-1
PTP,DOM,3S,2025-05-18,274,-1
PTP,FDF,3S,2025-05-18,1053,-1
PTP,SBH,3S,2025-05-18,897,-1
PTP,SDQ,3S,2025-05-18,446,-1
PTP,SFG,3S,2025-05-18,169,-1
PTP,SXM,3S,2025-05-18,747,-1
SBH,PTP,3S,2025-05-18,930,-1
SDQ,PTP,3S,2025-05-18,941,-1
SDQ,SXM,3S,2025-05-18,751,-1
SFG,PTP,3S,2025-05-18,1028,-1
